room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
15283836,95459395,Entire home/apt,,Chinatown,0,0.0,5,2.0,800.0,,42.350624,-71.060751,2017-01-14 09:14:14.266394
15285366,95459395,Entire home/apt,,South Boston Waterfront,0,0.0,7,3.0,914.0,,42.351234,-71.047075,2017-01-14 09:14:14.261776
15284016,95459395,Entire home/apt,,Chinatown,0,0.0,5,2.0,800.0,,42.348741,-71.059628,2017-01-14 09:14:14.259559
15284277,95459395,Entire home/apt,,Chinatown,0,0.0,5,2.0,800.0,,42.34862,-71.060984,2017-01-14 09:14:14.246412
50032,228845,Entire home/apt,,Jamaica Plain,16,5.0,12,4.0,725.0,,42.315911,-71.112757,2017-01-14 09:14:14.242786
11521541,14133713,Entire home/apt,,Charlestown,6,4.5,6,4.0,780.0,,42.381952,-71.06867,2017-01-14 09:14:14.236863
1810397,9485021,Entire home/apt,,South End,29,5.0,8,3.0,900.0,,42.343639,-71.070235,2017-01-14 09:14:12.963487
15188208,95459395,Entire home/apt,,Downtown,1,0.0,5,2.0,800.0,,42.352137,-71.062932,2017-01-14 09:14:12.959208
16179346,94865294,Entire home/apt,,East Boston,0,0.0,16,6.0,800.0,,42.383441,-70.999166,2017-01-14 09:14:12.950609
1628130,333220,Entire home/apt,,Jamaica Plain,1,0.0,10,4.0,750.0,,42.311712,-71.118184,2017-01-14 09:14:12.943107
15296865,1012005,Entire home/apt,,Bay Village,0,0.0,2,1.0,990.0,,42.348418,-71.068724,2017-01-14 09:14:12.933462
10857914,45651169,Entire home/apt,,Beacon Hill,16,5.0,8,4.0,750.0,,42.360769,-71.064449,2017-01-14 09:14:12.930750
15602584,100563038,Entire home/apt,,Back Bay,1,0.0,4,2.0,750.0,,42.350528,-71.079504,2017-01-14 09:14:12.928689
15287975,13335390,Entire home/apt,,Jamaica Plain,0,0.0,3,0.0,900.0,,42.323341,-71.102059,2017-01-14 09:14:12.925890
15726711,95459395,Entire home/apt,,West End,0,0.0,5,2.0,800.0,,42.363231,-71.067036,2017-01-14 09:14:12.916505
15873100,6333058,Entire home/apt,,Charlestown,1,0.0,10,3.0,700.0,,42.381695,-71.064556,2017-01-14 09:14:11.632159
7109689,19241302,Entire home/apt,,Charlestown,4,5.0,6,3.0,600.0,,42.376439,-71.063395,2017-01-14 09:14:11.629950
6444138,9419684,Entire home/apt,,Fenway,3,4.5,5,2.0,603.0,,42.343543,-71.098486,2017-01-14 09:14:11.614934
10052824,30283594,Entire home/apt,,South Boston Waterfront,1,0.0,6,3.0,519.0,,42.351651,-71.045822,2017-01-14 09:14:10.348865
10052920,30283594,Entire home/apt,,South Boston Waterfront,0,0.0,6,3.0,519.0,,42.351325,-71.046397,2017-01-14 09:14:10.346503
10052445,30283594,Entire home/apt,,South Boston Waterfront,3,4.5,6,3.0,519.0,,42.351305,-71.047652,2017-01-14 09:14:10.344213
5919529,24196977,Entire home/apt,,Back Bay,15,5.0,6,3.0,550.0,,42.35037,-71.070345,2017-01-14 09:14:10.341589
3673688,18142992,Entire home/apt,,Back Bay,36,4.5,4,1.0,699.0,,42.345051,-71.079889,2017-01-14 09:14:10.335685
7740592,4552954,Entire home/apt,,South End,2,0.0,4,2.0,700.0,,42.344032,-71.07408,2017-01-14 09:14:10.329773
3415245,17219748,Entire home/apt,,South End,2,0.0,6,3.0,700.0,,42.344182,-71.071437,2017-01-14 09:14:10.327241
10020017,31036880,Entire home/apt,,South Boston,0,0.0,5,3.0,700.0,,42.336059,-71.043347,2017-01-14 09:14:10.324995
7634203,4047951,Entire home/apt,,Leather District,4,5.0,7,2.0,700.0,,42.352057,-71.058464,2017-01-14 09:14:10.320973
115936,228845,Entire home/apt,,Jamaica Plain,8,4.0,12,4.0,525.0,,42.315576,-71.113057,2017-01-14 09:14:10.315658
2656568,13597630,Entire home/apt,,Back Bay,0,0.0,2,1.0,600.0,,42.348072,-71.076639,2017-01-14 09:14:08.831850
11734812,9419684,Entire home/apt,,South Boston Waterfront,5,5.0,6,3.0,506.0,,42.351416,-71.045845,2017-01-14 09:14:08.828996
6544715,33986390,Entire home/apt,,South Boston,14,4.5,10,5.0,700.0,,42.336763,-71.045216,2017-01-14 09:14:08.806076
16009189,104086638,Entire home/apt,,Back Bay,0,0.0,6,4.0,599.0,,42.353751,-71.078019,2017-01-14 09:14:08.803679
6972426,36559227,Entire home/apt,,South End,24,5.0,4,2.0,575.0,,42.341412,-71.081137,2017-01-14 09:14:08.799093
11970702,6201198,Entire home/apt,,South Boston,3,5.0,4,2.0,700.0,,42.3379,-71.043219,2017-01-14 09:14:08.791841
15187617,95459395,Entire home/apt,,Chinatown,0,0.0,3,1.0,571.0,,42.35103,-71.061705,2017-01-14 09:14:07.578907
15231923,95459395,Entire home/apt,,Fenway,0,0.0,3,1.0,571.0,,42.343481,-71.100628,2017-01-14 09:14:07.576442
15718448,95459395,Entire home/apt,,Fenway,0,0.0,3,1.0,571.0,,42.343802,-71.097731,2017-01-14 09:14:07.573866
15189699,95459395,Entire home/apt,,South Boston Waterfront,0,0.0,3,1.0,571.0,,42.352795,-71.045748,2017-01-14 09:14:07.569348
15284907,95459395,Entire home/apt,,South Boston Waterfront,0,0.0,3,1.0,571.0,,42.351239,-71.045755,2017-01-14 09:14:07.567014
15189425,95459395,Entire home/apt,,South Boston Waterfront,0,0.0,3,1.0,571.0,,42.35077,-71.046572,2017-01-14 09:14:07.564275
15187909,95459395,Entire home/apt,,Chinatown,0,0.0,3,1.0,571.0,,42.350695,-71.062839,2017-01-14 09:14:07.562030
