room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
19067195,1309,81160490,Entire home/apt,,Boston,,Beacon Hill,1,0.0,10,1.0,,211.0,,Fabulous Loft at Downtown in Boston,2017-06-10 12:57:02.584696,42.359821,-71.064028,0101000020E6100000CF81E50819C451C0FEB4519D0E2E4540
16555397,1309,81799793,Entire home/apt,,Boston,,Back Bay,27,5.0,3,1.0,,298.0,,LUXURIOUS ONE BEDROOM BEST LOCATION,2017-06-10 12:57:02.561462,42.353378,-71.07302,0101000020E61000000DFD135CACC451C01D90847D3B2D4540
1811776,1309,825370,Entire home/apt,,Boston,,Back Bay,232,4.5,4,1.0,,235.0,,Designer 1BR in Best Location,2017-06-10 12:57:02.557460,42.35143,-71.074388,0101000020E6100000C0CDE2C5C2C451C0A96A82A8FB2C4540
163941,1309,8229,Entire home/apt,,Boston,,Roxbury,162,4.5,6,2.0,,225.0,,$145* SPECIAL* 2 bed ApT! Location!,2017-06-10 12:57:02.552291,42.329647,-71.095027,0101000020E61000002B4F20EC14C651C0BD1C76DF312A4540
13912467,1309,82529160,Entire home/apt,,Boston,,Back Bay,28,5.0,4,1.0,,225.0,,14 Gloucester Street Apartment 3A,2017-06-10 12:57:02.549240,42.350477,-71.083846,0101000020E6100000A0F99CBB5DC551C006802A6EDC2C4540
3377100,1309,7629859,Entire home/apt,,Boston,,Beacon Hill,76,5.0,2,1.0,,245.0,,Beacon Hill Townhouse near MGH,2017-06-10 12:57:02.546399,42.356693,-71.072971,0101000020E61000009CA38E8EABC451C027DBC01DA82D4540
16909100,1309,68078375,Entire home/apt,,Boston,,Jamaica Plain,7,5.0,4,2.0,,249.0,,Modern JP home 2 blocks from T,2017-06-10 12:57:02.543503,42.318845,-71.102679,0101000020E61000001ABFF04A92C651C01FBFB7E9CF284540
497810,1309,2329611,Entire home/apt,,Boston,,Downtown,185,4.5,8,3.0,,299.0,,"LOCATION, LOCATION, LOCATION, 3BDR",2017-06-10 12:57:02.541086,42.354393,-71.060094,0101000020E6100000E52B8194D8C351C03677F4BF5C2D4540
15767548,1309,101959816,Entire home/apt,,Boston,,Beacon Hill,26,5.0,7,2.0,,232.0,,Beacon Hill! 2BR 2Bth Fully Renovated & Very Clean,2017-06-10 12:57:02.538332,42.360817,-71.065517,0101000020E61000004015376E31C451C0A06B5F402F2E4540
18447921,1309,55278406,Entire home/apt,,Boston,,South End,3,4.0,8,2.0,,269.0,,South End Boston 2BR/2BTH Private Apt! Roof Deck!,2017-06-10 12:57:02.535843,42.338965,-71.074676,0101000020E6100000F372D87DC7C451C08CBE8234632B4540
